icao,iata,name,country_code,active
JZA,QK,Air Canada Jazz,CA,true
JZR,J9,Jazeera Airways,KW,true
KAC,KU,Kuwait Airways,KW,true
KAL,KE,Korean Air,KR,true
KAP,9K,Cape Air,US,true
KBR,K7,KoralBlue Airlines,EG,true
KBZ,,Air KBZ,MM,true
KCU,,Skyline Ulasim Ticaret A.S.,TR,true
KDA,,Kendell Airlines,AU,true
KEA,,Korea Express Air,KR,true
KEE,BZ,Keystone Air Services,CA,false
KEN,M5,Kenmore Air,US,true
KFR,IT,Kingfisher Airlines,IN,true
KGA,R8,Kyrgyzstan Airlines,KG,false
KGL,7K,Kogalymavia Air Company,RU,true
KGO,ZC,Korongo Airlines,CD,true
KGZ,N5,Kyrgyz Airlines,KG,false
KHB,H8,Dalavia,RU,true
KHK,KH,Kharkiv Airlines,UA,true
KIA,KP,Kiwi International Air Lines,US,false
KIL,GW,Kuban Airlines,RU,true
KIN,,Kinloss Flying Training Unit,GB,true
KIS,C3,Contact Air,DE,true
KJC,7B,Krasnojarsky Airlines,RU,true
KKK,KK,Atlasjet,TR,true
KLA,TT,Air Lithuania,LT,false
KLC,WA,KLM Cityhopper,NL,true
KLM,KL,KLM Royal Dutch Airlines,NL,true
KLS,,Kal Star Aviation,ID,true
KMF,RQ,Kam Air,AF,true
KMP,E2,Kampuchea Airlines,KH,false
KMV,8J,Komiinteravia,RU,false
KND,,Kan Air,TH,true
KNE,XY,Nas Air,SA,true
KNI,KD,KD Avia,RU,true
KOL,CQ,SOCHI AIR,RU,true
KOQ,K1,Kostromskie avialinii,RU,true
KOR,JS,Air Koryo,,true
KPA,VD,Kunpeng Airlines,CN,false
KQA,KQ,Kenya Airways,KE,true
KRI,K9,Krylo Airlines,RU,false
KRP,V3,Carpatair,RO,true
KRY,,Russkie Krylya,RU,true
KSM,,Kosmos,RU,true
KSY,KY,KSY,GR,true
KSZ,,Sunrise Airways,HT,true
KUH,,Kush Air,SS,true
KYA,,Alghanim,US,true
KYV,KY,Kibris T,TR,false
KZK,9Y,Air Kazakhstan,KZ,true
KZR,KC,Air Astana,KZ,true
KZU,GO,Kuzu Airlines Cargo,TR,true
LAA,LN,Libyan Arab Airlines,LY,true
LAB,JF,L.A.B. Flying Service,US,false
LAJ,KJ,British Mediterranean Airways,GB,true
LAM,LM,Linhas A,MZ,true
LAN,LA,LAN Airlines,CL,true
LAO,QV,Lao Airlines,LA,true
LAP,PZ,TAM Mercosur,PY,true
LAQ,LQ,Lebanese Air Transport,LB,false
LAV,,AlbaStar,ES,true
LBC,LV,Albanian Airlines,AL,true
LBL,L8,Line Blue,DE,true
LBT,BJ,Nouvel Air Tunisie,TN,true
LCD,ZE,Lineas Aereas Azteca,MX,false
LDA,NG,Lauda Air,AT,true
LFA,,Air Alfa,TR,true
LGL,LG,Luxair,LU,true
LGW,HE,Luftfahrtgesellschaft Walter,DE,true
LHN,EO,Express One International,US,true
LIA,LI,Leeward Islands Air Transport,AG,true
LID,D4,Alidaunia,IT,false
LIL,TE,FlyLal,LT,true
LIX,C4,LionXpress,CM,true
LJJ,L4,Luchsh Airlines ,RU,true
LKN,IK,Lankair,LK,false
LLB,LB,Lloyd Aereo Boliviano,BO,false
LLC,,FlyLAL Charters,LT,true
LLM,YL,Yamal Airlines,RU,true
LLR,CD,Alliance Air,IN,false
LMM,LQ,LCM AIRLINES,RU,true
LMU,UJ,AlMasria Universal Airlines,EG,true
LNE,XL,Aerolane,EC,true
LNI,JT,Lion Mentari Airlines,ID,true
LNP,L7,Linea Aerea SAPSA,CL,false
LOC,ZQ,Locair,US,true
LOF,AX,Trans States Airlines,US,true
LOO,PQ,LSM Airlines,RU,true
LOT,LO,LOT Polish Airlines,PL,true
LPE,LP,LAN Peru,PE,true
LPN,L7,Laoag International Airlines,PH,false
LPR,MJ,L,AR,true
LPV,A6,Air Alps Aviation,AT,false
LRC,LR,LACSA,CR,true
LTC,,LatCharter,LV,true
LTD,,Southern Airways Express,US,true
LTE,XO,LTE International Airways,ES,true
LTF,DV,Lufttaxi Fluggesellschaft,DE,false
LTO,L3,LTU Austria,AT,true
LTR,L5,Lufttransport,NO,true
LTU,LT,Air Lituanica,LT,true
LTY,LE,Liberty Airways,US,true
LUR,TD,Atlantis European Airways,AM,true
LVG,LM,Livingston,IT,false
LXG,L8,Air Luxor GB,GW,false
LXP,LU,LAN Express,CL,true
LXR,LK,Air Luxor,PT,true
LYC,L2,Lynden Air Cargo,US,false
LYN,QH,Kyrgyzstan,KG,false
LZB,FB,Bulgaria Air,BG,true
MAA,M7,MasAir,MX,true
MAC,R5,Malta Air Charter,MT,true
MAH,MA,Malév,HU,true
MAI,L6,Mauritania Airlines International,MR,true
MAK,IN,MAT Macedonian Airlines,MK,true
MAL,,Morningstar Air Express,CA,true
MAS,MH,Malaysia Airlines,MY,true
MAU,MK,Air Mauritius,MU,true
MAV,ML,Maldivo Airlines,MV,true
MBN,Q3,Zambian Airways,ZM,false
MCA,,MCA Airlines,SE,true
MCK,CC,Macair Airlines,AU,true
MDA,AE,Mandarin Airlines,TW,true
MDG,MD,Air Madagascar,MG,true
MDL,RI,Mandala Airlines,ID,true
MDO,D1,Domenican Airlines,DO,true
MDP,,Medallion Air,RO,true
MDV,2M,Moldavian Airlines,MD,true
MDW,JI,Midway Airlines,US,true
MEA,ME,Middle East Airlines,LB,true
MEP,YX,Midwest Airlines,US,true
MES,XJ,Mesaba Airlines,US,true
MGL,OM,MIAT Mongolian Airlines,MN,true
MGX,YM,Montenegro Airlines,ME,true
MIC,,Mint Airways,ES,true
MJG,DF,Michael Airlines,PR,true
MJN,RS,Royal Air Force of Oman,OM,false
MJP,,Air Majoro,PE,true
MJX,4L,Euroline,GE,true
MKD,6F,MAT Airways,MK,true
MKG,P8,Air Mekong,VN,true
MKU,WP,Island Air (WP),US,true
MLA,Q5,40-Mile Air,US,true
MLD,9U,Air Moldova,MD,true
MMM,8M,Myanmar Airways International,MM,true
MNA,MZ,Merpati Nusantara Airlines,ID,true
MNB,MB,MNG Airlines,TR,true
MNG,M0,Aero Mongolia,MN,false
MNJ,IM,Menajet,LB,false
MNO,JE,Mango,ZA,true
MNP,SM,Spirit of Manila Airlines,PH,true
MON,ZB,Monarch Airlines,GB,true
MOV,NN,VIM Airlines,RU,true
MPD,A7,Air Plus Comet,ES,true
MPE,5T,Canadian North,CA,true
MPH,MP,Martinair,NL,true
MPX,QO,Aeromexpress,MX,false
MRR,2G,San Juan Airlines,US,false
MRS,Y8,Marusya Airways,RU,true
MRT,MR,Air Mauritanie,MR,false
MRW,6V,Mars RK,UA,false
MSE,,EgyptAir Express,EG,true
MSI,M9,Motor Sich,UA,true
MSL,M7,Marsland Aviation,SD,false
MSR,MS,Egyptair,EG,true
MTC,N4,Mountain Air Company,SL,false
MTW,,Mauritania Airways,MR,true
MVD,KV,Kavminvodyavia,RU,true
MVL,H5,Mavial Magadan Airlines,RU,false
MWA,MY,Midwest Airlines (Egypt),EG,true
MWI,,Malaysia Wings,MY,true
MXA,MX,Mexicana de Aviaci,MX,true
MXC,GJ,Compania Mexicargo,MX,false
MXD,OD,Malindo Air,MY,true
MXI,I6,MexicanaLink,MX,true
MXJ,MY,Maxjet Airways,US,false
MXL,8M,Maxair,SE,true
MYA,,Myflug,IS,true
MYD,MW,Maya Island Air,BZ,true
MYP,,Mann Yadanarpon Airlines,MM,true
MYT,VZ,MyTravel Airways,GB,true
MZS,M2,Mahfooz Aviation,GM,false
NAC,NC,Northern Air Cargo,US,false
NAK,Q9,Arik Niger,NE,true
NAL,NA,National Airlines,US,false
NAS,UE,Nasair,ER,true
NAX,DY,Norwegian Air Shuttle,NO,true
NBK,F4,Albarka Air,NG,false
NCA,KZ,Nippon Cargo Airlines,JP,false
NCF,,Norfolk County Flight College,GB,true
NCN,N4,National Airlines,CL,false
NCR,N8,National Air Cargo,US,true
NDC,LF,FlyNordic,SE,true
NDN,,Transportes Aereos Cielos Andinos,PE,true
NEA,EJ,New England Airlines,US,true
NES,JH,Nordeste Linhas Aereas Regionais,BR,false
NFA,M3,North Flying,DK,false
NGB,NJ,Nordic Global Airlines,FI,true
NIA,NP,Nile Air,EG,true
NIG,AJ,Aero Contractors,NG,true
NJS,NC,National Jet Systems,AU,true
NKF,8N,Barents AirLink,SE,true
NKS,NK,Spirit Airlines,US,true
NLH,DU,Norwegian Long Haul AS,NO,true
NLY,HG,Niki,AT,true
NMA,,Nesma Airlines,EG,true
NMB,SW,Air Namibia,NA,true
NMI,LW,Pacific Wings,US,true
NOK,DD,Nok Air,TH,true
NOS,NO,Neos,IT,false
NOV,M4,Nova Airline,SD,false
NRD,6N,Nordic Regional,SE,false
NSE,9R,SATENA,CO,true
NTJ,2N,NextJet,SE,true
NTM,,North American Airlines,CA,true
NTW,CE,Nationwide Airlines,ZA,true
NVR,1I,Novair,SE,true
NWA,NW,Northwest Airlines,US,true
NWL,HW,North-Wright Airways,CA,false
NWR,FY,Northwest Regional Airlines,AU,false
NXB,XB,NEXT Brasil,BR,true
NYT,,Yeti Airlines ,NP,true
NZM,NM,Mount Cook Airlines,NZ,false
OAB,O1,Orbit Airlines Azerbaijan,AZ,true
OAE,OY,Omni Air International,US,true
OAI,,Orbit International Airlines,US,true
OAL,OA,Olympic Airlines,GR,true
OAN,,Orbit Atlantic Airways,US,true
OAR,,Orbit Regional Airlines,US,true
OAW,2L,Helvetic Airways,CH,true
OBS,,Orbest,PT,true
OBT,,Orbit Airlines,US,true
OCA,R7,Aserca Airlines,VE,true
OCM,UQ,O'Connor Airlines,AU,false
OEA,OX,Orient Thai Airlines,TH,true
OGN,QO,Origin Pacific Airways,NZ,true
OHK,O8,Oasis Hong Kong Airlines,HK,true
OHY,8Q,Onur Air,TR,true
OKS,S0,Slok Air Gambia,GM,false
OLA,OJ,Overland Airways,NG,true
OLS,,Sol Lineas Aereas,AR,true
OLT,OL,Ostfriesische Lufttransport,DE,true
OMA,WY,Oman Air,OM,true
OME,MR,Homer Air,DE,true
OMS,N3,Omskavia Airline,RU,false
ONE,O6,Oceanair,BR,true
OOM,Z4,Zoom Airlines,CA,true
ORB,R2,Orenburg Airlines,RU,true
ORC,OI,Orchid Airlines,AU,true
ORG,,Orenburzhie,RU,true
OSL,SO,Sosoliso Airlines,NG,false
OSY,1L,Open Skies Consultative Commission,US,false
OTG,,One Two Go Airlines,TH,true
OTJ,X5,Fly Romania,RO,true
OZJ,O7,Ozjet Airlines,AU,true
OZR,OZ,Ozark Air Lines,US,false
OZW,,Skywest Airlines,AU,true
PAA,PA,Pan American Airways,US,false
PAC,PO,Polar Air Cargo,US,false
PAL,PR,Philippine Airlines,PH,true
PAO,PH,Polynesian Airlines,WS,true
PBA,9Q,PB Air,TH,true
PBD,,Pobeda,RU,true
PBN,DJ,Pacific Blue,NZ,false
PBU,8Y,Air Burundi,BI,false
PCE,Y5,Pace Airlines,US,false
PCO,8P,Pacific Coastal Airline,CA,true
PDC,BK,Potomac Air,US,true
PDT,PI,Piedmont Airlines (1948-1989),US,true
PEC,Q8,Pacific East Asia Cargo Airlines,PH,true
PEL,OT,Aeropelican Air Services,AU,true
PEN,KS,Peninsula Airways,US,true
PFL,,Pacific Flier,PW,true
PGA,NI,Portugalia,PT,true
PGP,P9,Perm Airlines,RU,false
PGT,PC,Pegasus Airlines,TR,true
PIA,PK,Pakistan International Airlines,PK,true
PIC,BL,Jetstar Pacific,VN,true
PIR,NR,Pamir Airways,AF,false
PKV,,Псковавиа,RU,true
PLB,DJ,Polynesian Blue,NZ,false
PLI,PL,Aeroper,PE,true
PLR,J3,Northwestern Air,CA,true
PMK,3D,Palair Macedonia,MK,false
PMT,U4,PMTair,KH,true
PMW,I7,Paramount Airways,IN,true
PNF,PQ,Panafrican Airways,CI,false
PNR,PV,PAN Air,ES,true
PNW,PF,Palestinian Airlines,EG,false
POE,PD,Porter Airlines,CA,true
POT,,Polet,RU,true
PPL,OP,Air Pegasus,IN,true
PPW,,Royal Phnom Penh Airways,KH,true
PQW,WQ,PanAm World Airways,US,true
PRF,PW,Precision Air,TZ,true
PRZ,AD,Air Paradise International,ID,false
PSA,,Pacific Island Aviation,US,true
PSB,,Syrian Pearl Airlines,SY,true
PSD,TO,President Airlines,KH,false
PSX,PS,Pacific Southwest Airlines,US,false
PTB,,Passaredo Transportes Aereos,BR,true
PTI,,Privatair,CH,true
PTN,P8,Pantanal Linhas Aéreas,BR,false
PTP,GP,Palau Trans Pacific Airline,PW,false
PUA,PU,PLUNA,UY,true
PVV,PC,Continental Airways,RU,false
PWF,8W,Private Wings Flugcharter,DE,false
PYA,,Pouya Air,IR,true
PYB,0P,All America BOPY,PY,true
PZR,1I,Sky Trek International Airlines,US,false
PZY,,Zapolyarie Airlines,RU,true
QAX,C3,QatXpress,QA,true
QCL,QD,Air Class Lineas Aereas,UY,false
QER,Q3,SOCHI AIR CHATER,RU,true
QFA,QF,Qantas,AU,true
QFZ,,Fars Air Qeshm,IR,true
QNK,N2,Kabo Air,NG,false
QQQ,,ENTERair,PL,true
QSC,QS,African Safari Airways,KE,false
QTR,QR,Qatar Airways,QA,true
QXE,QX,Horizon Air,US,true
RAB,RN,Rainbow Air (RAI),US,true
RAC,,Icar Air,BA,true
RAE,YS,Régional,FR,true
RAM,AT,Royal Air Maroc,MA,true
RAR,GZ,Air Rarotonga,CK,true
RAW,KG,Royal Airways,US,true
RAY,RY,Rainbow Air Canada,CA,true
RBA,BI,Royal Brunei Airlines,BN,true
RBG,E5,Air Arabia Egypt,EG,true
RBU,4Y,Airbus France,FR,false
RBY,V2,Vision Airlines (V2),US,true
RCH,MC,Air Mobility Command,US,false
RCK,F6,Faroejet,FO,false
RDN,D7,Dinar,AR,false
REA,RE,Aer Arann,IE,true
REK,V4,Reem Air,KG,false
REP,P7,Regional Paraguaya,PY,true
REU,UU,Air Austral,FR,true
RFJ,RL,Royal Falcon,JO,true
RFR,RR,Royal Air Force,GB,false
RGG,1E,TransRussiaAirlines,RU,true
RHC,8L,Redhill Aviation,GB,false
RIT,6K,Asian Spirit,PH,true
RJA,RJ,Royal Jordanian,JO,true
RJD,,Rotana Jet,AE,true
RKA,RK,Air Afrique,CI,true
RKH,RK,Royal Khmer Airlines,KH,false
RLA,A5,Airlinair,FR,true
RLE,C7,Rico Linhas A,BR,false
RLN,QL,Aero Lanka,LK,true
RLU,,Rusline,RU,true
RLX,,Go2Sky,SK,true
RMK,,Simrik Airlines,NP,true
RML,MV,Armenian International Airways,AM,false
RNA,RA,Nepal Airlines,NP,true
RNE,20,Air Salone,SL,true
RNV,U8,Armavia,AM,true
RNX,1T,1Time Airline,ZA,true
RNY,RM,Rainbow Air US,US,true
ROA,QQ,Reno Air,US,false
ROB,7V,ROYAL BRITAIN,GB,false
ROK,N7,National Airlines,US,false
ROM,BQ,Aeromar,DO,false
RON,ON,Nauru Air Corporation,NR,true
ROT,RO,Tarom,RO,true
RPA,RW,Republic Airlines,US,true
RPB,P5,AeroRep,CO,true
RPH,RH,Republic Express Airlines,ID,true
RPK,R0,Royal Airlines,PK,false
RPO,RX,Rainbow Air Polynesia,US,true
RRJ,R8,AirRussia,RU,true
RSD,,Russia State Transport,RU,true
RSH,S2,Air Sahara,IN,true
RSI,,Air Sunshine,US,true
RSJ,,RusJet,RU,true
RSL,SL,Rio Sul Servi,BR,false
RSO,E4,Aero Asia International,PK,false
RSP,,Jet Suite,US,true
RSR,BF,Aero-Service,CG,true
RSU,5L,Aerosur,BO,true
RSY,H5,I-Fly,RU,true
RTE,,Aeronorte,PT,true
RUE,RU,Rainbow Air Euro,GB,true
RUS,C9,Cirrus Airlines,DE,true
RWD,WB,Rwandair Express,RW,true
RWW,ER,Fly Europa,ES,true
RWZ,WZ,Red Wings,RU,true
RXA,ZL,Regional Express,AU,true
RXR,RR,REXAIR VIRTUEL,FR,true
RYA,,Ryan Air Services,US,true
RYL,V5,Royal Aruban Airline,AW,false
RYN,RD,Ryan International Airlines,US,true
RYR,FR,Ryanair,IE,true
RZO,S4,SATA International,PT,true
SAA,SA,South African Airways,ZA,true
SAE,Q4,SOCHI AIR EXPRESS,RU,true
SAI,NL,Shaheen Air International,PK,true
SAL,S0,Spike Airlines,US,true
SAS,SK,Scandinavian Airlines System,SE,true
SAT,SP,SATA Air Acores,PT,true
SAY,,ScotAirways,GB,true
SBD,S8,Snowbird Airlines,FI,true
SBI,S7,S7 Airlines,RU,true
SBK,RB,Air Srpska,BA,false
SBS,BB,Seaborne Airlines,US,true
SCE,,Scenic Airlines,US,true
SCH,AW,CHC Airways,NL,false
SCO,TZ,Scoot,SG,true
SCW,,Malmo Aviation,SE,true
SCX,SY,Sun Country Airlines,US,true
SDI,,San Dima Air,US,true
SDM,FV,Rossiya-Russian Airlines,RU,true
SDO,EX,Air Santo Domingo,DO,false
SDR,CF,City Airline,SE,true
SDY,2S,Island Express,US,false
SEA,,Southeast Air,US,true
SEH,G3,Sky Express,GR,true
SEJ,SG,Spicejet,IN,true
SEN,,Sevenair,TN,true
SEQ,I6,Sky Eyes,TH,false
SER,JR,Aero California,MX,false
SET,EH,SAETA,EC,false
SEU,SE,XL Airways France,FR,true
SEY,HM,Air Seychelles,SC,true
SFJ,7G,Star Flyer,JP,true
SFR,FA,Safair,ZA,false
SGG,DN,Senegal Airlines,SN,true
SGR,W9,Eastwind Airlines,US,false
SGY,N5,Skagway Air Service,US,true
SHA,SH,Sharp Airlines,AU,true
SHD,,Sahara Airlines,DZ,true
SIA,SQ,Singapore Airlines,SG,true
SIB,5M,Sibaviatrans,RU,true
SIH,SI,Skynet Airlines,IE,true
SIT,XS,SITA,BE,false
SJM,7R,Svyaz Rossiya,RU,true
SJO,IJ,Spring Airlines Japan,JP,true
SJS,76,Southjet,US,true
SJU,UQ,Skyjet Airlines,UG,true
SJY,SJ,Sriwijaya Air,ID,true
SKB,SX,Skybus Airlines,US,false
SKU,H2,Sky Airline,CL,true
SKV,RS,Sky Regional,CA,true
SKW,OO,SkyWest,US,true
SKX,JZ,Skyways Express,SE,true
SKY,BC,Skymark Airlines,JP,true
SLA,LJ,Sierra National Airlines,SL,false
SLC,SO,Salsa d\\'Haiti,HT,true
SLI,5D,Aerolitoral,MX,true
SLK,MI,SilkAir,SG,true
SLL,6Q,Slovak Airlines,SK,false
SLM,PY,Surinam Airways,SR,true
SMJ,Z3,Avient Aviation,ZW,true
SMW,,Carpatair Flight Training,RO,true
SMX,XM,Alitalia Express,IT,true
SMY,ZS,Sama Airlines,SA,true
SNB,NB,Sterling Airlines,DK,true
SNC,2Q,Air Cargo Carriers,US,true
SNG,V7,Air Senegal International,SN,false
SNJ,6J,Skynet Asia Airways,JP,true
SOA,,Southern Air Charter,BS,true
SOL,IE,Solomon Airlines,SB,true
SOU,,Southern Airways,US,true
SOV,6W,Saratov Aviation Division,RU,true
SOZ,HZ,Sat Airlines,KZ,true
SPI,,South Pacific Island Airways,US,true
SPJ,M3,Air Service,MK,false
SPM,PJ,Air Saint Pierre,FR,true
SQC,SQ,Singapore Airlines Cargo,SG,true
SQH,K5,SeaPort Airlines,US,true
SRB,,Solar Air,TH,true
SRH,FT,Siem Reap Airways,KH,true
SRK,SX,Sky Work Airlines,CH,false
SRL,SM,Swedline Express,SE,false
SRN,,Sprintair,PL,true
SRQ,DG,South East Asian Airlines,PH,true
SRY,,ViaAir,US,true
SSA,AG,All America US,US,true
SSV,5G,Skyservice Airlines,CA,true
STP,8F,STP Airways,ST,true
STS,SX,Starling Airlines Spain,ES,false
STU,FS,Servicios de Transportes A,AR,true
SUD,SD,Sudan Airways,SD,true
SUF,PI,Sun Air (Fiji),FJ,false
SUS,EZ,Sun Air of Scandinavia,DK,false
SUW,ZA,Interavia Airlines,RU,true
SVA,SV,Saudi Arabian Airlines,SA,true
SVG,,SVG Air,VC,true
SVK,GM,Air Slovakia,SK,false
SVR,U6,Ural Airlines,RU,true
SWA,WN,Southwest Airlines,US,true
SWD,A4,Southern Winds Airlines,AR,true
SWG,WG,Sunwing Airlines,CA,false
SWM,,Sky Angkor Airlines (ZA),KH,true
SWN,PT,West Air Sweden,SE,false
SWR,LX,Swiss International Air Lines,CH,true
SWU,,Swiss European Air Lines,CH,true
SWV,WV,Swe Fly,SE,true
SWW,S8,Shovkoviy Shlyah,UA,false
SXR,XW,Sky Express,RU,true
SXS,XQ,SunExpress,TR,true
SYL,R3,Aircompany Yakutia,RU,true
SYR,RB,Syrian Arab Airlines,SY,true
SYX,AL,Skywalk Airlines,US,true
SZB,,Aerolineas heredas santa maria,DO,true
SZZ,,SUR Lineas Aereas,AR,true
TAE,EQ,TAME,EC,true
TAH,,Air Moorea,FR,true
TAK,U9,Tatarstan Airlines,RU,true
TAM,JJ,TAM Brazilian Airlines,BR,true
TAN,,Zanair,TZ,true
TAO,VW,Aeromar,MX,true
TAP,TP,TAP Portugal,PT,true
TAR,TU,Tunisair,TN,true
TAT,TA,Grupo TACA,CR,true
TAY,3V,TNT Airways,BE,false
TBG,M7,Tropical Airways,HT,false
TBZ,TB,TrasBrasil,BR,true
TCF,S5,Shuttle America,US,true
TCG,T2,Thai Air Cargo,TH,true
TCI,JY,Air Turks and Caicos,TC,false
TCV,VR,TACV,PT,true
TCW,FQ,Thomas Cook Airlines,BE,true
TCX,MT,Thomas Cook Airlines,GB,true
TDK,,Transavia Denmark,DK,true
TDM,TQ,Tandem Aero,MD,false
TEP,UE,Transeuropean Airlines,RU,false
TEZ,,Tez Jet Airlines,KG,true
TFL,OR,Arkefly,NL,true
TFN,,Norwegian Aviation College,NO,true
TGA,YT,Air Togo,TG,false
TGN,,Trigana Air Service,ID,true
TGW,TR,Tiger Airways,SG,true
TGZ,A9,Georgian Airways,GE,true
THA,TG,Thai Airways International,TH,true
THI,TI,TransHolding,BR,true
THK,,Turk Hava Kurumu Hava Taksi Isletmesi,TR,true
THS,TH,TransBrasil Airlines,BR,true
THT,TN,Air Tahiti Nui,FR,true
THY,TK,Turkish Airlines,TR,true
TIB,8R,TRIP Linhas A,BR,true
TIL,,Tajikistan International Airlines,TJ,true
TJA,TJ,T.J. Air,US,true
TJT,T7,Twin Jet,FR,true
TKS,,Tomsk-Avia,RU,true
TKY,9I,Thai Sky Airlines,TH,false
TLA,,Translift Airways,IE,true
TLM,9F,Tramm Airlines,,false
TLP,TD,Tulip Air,NL,false
TLW,L9,Teamline Air,AT,false
TMA,TL,Trans Mediterranean Airlines,LB,true
TMG,GY,Tri-MG Intra Asia Airlines,ID,false
TMW,M8,Trans Maldivian Airways,MV,false
TNA,GE,TransAsia Airways,TW,true
TNM,3P,Tiara Air,AW,true
TNS,,Transilvania,RO,true
TNU,M8,TransNusa Air,ID,true
TOB,7T,Tobruk Air,LY,false
TOK,CG,Airlines PNG,PG,true
TOL,TI,Tol-Air Services,US,false
TOM,BY,Thomsonfly,GB,true
TOS,PM,Tropic Air,BZ,true
TOW,FF,Tower Air,US,false
TPA,QT,TAMPA,CO,true
TPC,TY,Air Cal,FR,false
TRA,HV,Transavia Holland,NL,true
TRK,,Turkuaz Airlines,TR,true
TRS,FL,AirTran Airways,US,true
TRZ,T9,TransMeridian Airlines,US,false
TSC,TS,Air Transat,CA,true
TSE,TH,Transmile Air Services,MY,false
TSJ,S5,Trast Aero,KG,false
TSO,UN,Transaero Airlines,RU,true
TSX,T9,Thai Star Airlines,TH,false
TTZ,,Transair,CA,true
TUA,T5,Turkmenistan Airlines,TM,true
TUB,TB,TUI Airlines Belgium,BE,false
TUI,UG,Tuninter,TN,true
TUR,,ATUR,EC,true
TUS,M3,ABSA - Aerolinhas Brasileiras,BR,true
TUY,LD,Linea Turistica Aerotuy,VE,false
TVF,TO,Transavia France,FR,true
TVJ,,Thai Vietjet Air,TH,true
TVR,T6,Tavrey Airlines,UA,false
TVS,QS,Travel Service,CZ,true
TWA,TW,Trans World Airlines,US,false
TWB,TW,Tway Airlines,KR,true
TWD,,Turkish Wings Domestic,TR,true
TWN,EC,Avialeasing Aviation Company,UZ,true
TXC,AL,Transaviaexport,BY,false
TXP,XS,Texas Spirit,US,false
TXW,TQ,Texas Wings,US,true
TYR,VO,Tyrolean Airways,AT,true
TYS,YO,TransHolding System,BR,true
UAC,,United Air Charters,ZW,true
UAE,EK,Emirates,AE,true
UAL,UA,United Airlines,US,true
UAT,,Ukraine Atlantic,UA,true
UAY,,University of Birmingham Air Squadron (RAF),GB,true
UBA,UB,Myanma Airways,MM,true
UBD,4H,United Airways,BD,true
UBG,,US-Bangla Airlines,BD,true
UCA,C5,CommutAir,US,true
UCR,DW,Aero-Charter Ukraine,UA,false
UDC,5D,DonbassAero,UA,true
UDN,,Dniproavia,UA,true
UGX,QU,East African,UG,true
UIA,B7,Uni Air,TW,true
UJX,,AtlasGlobal Ukraine,UA,true
UKM,UF,UM Airlines,UA,true
UKR,6U,Air Ukraine,UA,false
UKS,6Z,Ukrainian Cargo Airways,UA,false
UKW,5V,Lviv Airlines,UA,false
ULA,OD,Zuliana de Aviacion,VE,false
UMK,,Yuzhmashavia,UA,true
UPA,GS,Air Foyle,GB,true
UPS,5X,United Parcel Service,US,false
URG,3N,Air Urga,UA,false
URN,3T,Turan Air,AZ,true
USA,US,US Airways,US,true
USH,,US Helicopter,US,true
UTA,UT,UTair Aviation,RU,true
UTY,QQ,Alliance Airlines,AU,true
UWW,II,LSM International ,RU,true
UYC,UY,Cameroon Airlines,CM,false
UZB,HY,Uzbekistan Airways,UZ,true
VAL,VC,Voyageur Airways,CA,false
VAP,9R,Phuket Air,TH,false
VAS,V8,ATRAN Cargo Airlines,RU,true
VAU,VA,V Australia Airlines,AU,false
VAX,ZV,V Air,TW,true
VBI,DJ,Virgin Blue,AU,false
VBW,2J,Air Burkina,BF,true
VCV,V0,Conviasa,VE,true
VCX,VC,Ocean Airlines,IT,false
VDA,VI,Volga-Dnepr Airlines,RU,true
VEX,TV,Virgin Express,BE,true
VFC,,Vasco Air,VN,true
VGA,6V,Air Vegas,US,false
VGN,VK,Virgin Nigeria Airways,NG,true
VIA,V1,VIA Líneas Aéreas,AR,true
VIM,VL,Air VIA,BG,true
VIR,VS,Virgin Atlantic Airways,GB,true
VIS,,Vision Air International,PK,true
VJA,J7,ValueJet,US,false
VJC,,VietJet Air,VN,true
VKH,VQ,Viking Hellas,GR,true
VKJ,KT,VickJet,FR,true
VLE,VE,Volare Airlines,IT,true
VLG,VY,Vueling Airlines,ES,true
VLI,V5,Avolar Aerolineas,MX,false
VLK,XF,Vladivostok Air,RU,true
VLM,VG,VLM Airlines,BE,true
VLO,LC,Varig Log,BR,true
VLU,VF,Valuair,SG,true
VNP,VH,Virgin Pacific,FJ,true
VOA,VM,Viaggio Air,BG,false
VOE,V7,VOLOTEA Airways,ES,true
VOI,Y4,Volaris,MX,true
VOO,,Volotea,ES,true
VOZ,VA,Virgin Australia,AU,true
VQI,,Flyme (VP),MV,true
VRD,VX,Virgin America,US,true
VRN,RG,VRG Linhas Aereas,BR,true
VSP,VP,VASP,BR,true
VSV,DV,Scat Air,KZ,true
VTA,VT,Air Tahiti,PF,true
VTI,UK,Air Vistara,IN,true
VUE,,AD Aviation,GB,true
VUN,VU,Air Ivoire,CI,true
VVC,5Z,VivaColombia,CO,true
VVM,ZG,Viva Macau,MO,true
VVN,47,88,CY,true
VWA,YY,Virginwings,DE,true
VXG,G2,Avirex,GA,false
WAJ,,AirAsia Japan,JP,true
WAK,K5,Wings of Alaska,US,false
WAL,WA,Western Airlines,US,true
WAU,WU,Wizz Air Ukraine,UA,true
WBA,FC,Finncomm Airlines,FI,true
WCP,FE,Primaris Airlines,US,false
WDY,C8,Chicago Express,US,false
WEB,WJ,WebJet Linhas A,BR,true
WEN,WR,WestJet Encore,CA,true
WER,W4,AeroWorld ,RU,true
