icao_code,manufacturer,model,name,family,body_type,engine_type,engine_count,wake_category
BER2,Beriev,Be-200 Altair,BERIEV Be-200 Altair,Be-200 Altair,REGIONAL,JET,2,M
BER4,Beriev,A40 Albatross,BERIEV A-40 Albatross,A40 Albatross,REGIONAL,JET,2,M
BLCF,Boeing,747-400LCF Dreamlifter,BOEING 747-400LCF Dreamlifter,747-400LCF Dreamlifter,WIDE,JET,4,H
BN2T,Britten-Norman,BN-2T Turbine Islander,BRITTEN-NORMAN BN-2T Turbine Islander,BN-2T Turbine Islander,TURBOPROP,TURBOPROP,2,L
BS60,Beech,SFERMA 60 Marquis,BEECH-SFERMA 60 Marquis,SFERMA 60 Marquis,TURBOPROP,TURBOPROP,2,L
BT7,Boeing,T-7 Red Hawk,BOEING T-7 Red Hawk,T-7 Red Hawk,NARROW,JET,1,M
BUC,Hawker,SIDDELEY Buccaneer,HAWKER-SIDDELEY Buccaneer,SIDDELEY Buccaneer,BUSINESS,JET,2,M
C02T,Cessna,402 Turbine,CESSNA 402 Turbine,402 Turbine,TURBOPROP,TURBOPROP,2,L
C04T,Cessna,404 Turbine,CESSNA 404 Turbine,404 Turbine,TURBOPROP,TURBOPROP,2,L
C06T,Cessna,206 Turbine,CESSNA 206 Turbine,206 Turbine,TURBOPROP,TURBOPROP,1,L
C07T,Cessna,207 Turbine,CESSNA 207 Turbine,207 Turbine,TURBOPROP,TURBOPROP,1,L
C08T,Soloy,208 Pathfinder,SOLOY 208 Pathfinder,208 Pathfinder,TURBOPROP,TURBOPROP,0,L
C1,Kawasaki,C-1,KAWASAKI C-1,C-1,REGIONAL,JET,2,M
C101,CASA,C-101 Aviojet,CASA C-101 Aviojet,C-101 Aviojet,BUSINESS,JET,1,L
C10T,Cessna,P210 Turbine,CESSNA P210 Turbine,P210 Turbine,TURBOPROP,TURBOPROP,1,L
C130,Lockheed,C-130 Hercules,LOCKHEED C-130 Hercules,C-130 Hercules,TURBOPROP,TURBOPROP,4,M
C135,Boeing,NC-135,BOEING NC-135,NC-135,WIDE,JET,4,H
C141,Lockheed,C-141 Starlifter,LOCKHEED C-141 Starlifter,C-141 Starlifter,WIDE,JET,4,H
C14T,Cessna,414 Turbine,CESSNA 414 Turbine,414 Turbine,TURBOPROP,TURBOPROP,2,L
C15,McDonnell Douglas,YC-15,MCDONNELL DOUGLAS YC-15,YC-15,NARROW,JET,4,M
C160,Transall,C-160,TRANSALL C-160,C-160,TURBOPROP,TURBOPROP,2,M
C17,Boeing,C-17 Globemaster 3,BOEING C-17 Globemaster 3,C-17 Globemaster 3,WIDE,JET,4,H
C2,Grumman,C-2 Greyhound,GRUMMAN C-2 Greyhound,C-2 Greyhound,TURBOPROP,TURBOPROP,2,M
C208,Cessna,208 Caravan,CESSNA 208 Caravan,208 Caravan,TURBOPROP,TURBOPROP,1,L
C212,Cessna,212 Aviocar,CESSNA 212 Aviocar,212 Aviocar,TURBOPROP,TURBOPROP,2,M
C21T,Cessna,421 Turbine,CESSNA 421 Turbine,421 Turbine,TURBOPROP,TURBOPROP,2,L
C22J,Caproni,VIZZOLA C-22J Ventura,CAPRONI VIZZOLA C-22J Ventura,VIZZOLA C-22J Ventura,BUSINESS,JET,2,L
C25A,Cessna,525A Citation CJ2,CESSNA 525A Citation CJ2,525A Citation CJ2,BUSINESS,JET,2,L
C25B,Cessna,525B Citation CJ3,CESSNA 525B Citation CJ3,525B Citation CJ3,BUSINESS,JET,2,L
C25C,Cessna,525C Citation CJ4,CESSNA 525C Citation CJ4,525C Citation CJ4,BUSINESS,JET,2,M
C25M,Cessna,525 Citation M2,CESSNA 525 Citation M2,525 Citation M2,BUSINESS,JET,2,L
C27J,Alenia,C-27J Spartan,ALENIA C-27J Spartan,C-27J Spartan,TURBOPROP,TURBOPROP,2,M
C295,CASA,C-295 Persuader,CASA C-295 Persuader,C-295 Persuader,TURBOPROP,TURBOPROP,2,M
C30J,Lockheed,MARTIN C-130J Super Hercules,LOCKHEED MARTIN C-130J Super Hercules,MARTIN C-130J Super Hercules,TURBOPROP,TURBOPROP,4,M
C365,Ekw,C-3605,EKW C-3605,C-3605,TURBOPROP,TURBOPROP,1,L
C408,Cessna,408 SkyCourier,CESSNA 408 SkyCourier,408 SkyCourier,TURBOPROP,TURBOPROP,2,L
C425,Cessna,425 Corsair,CESSNA 425 Corsair,425 Corsair,TURBOPROP,TURBOPROP,2,L
C441,Cessna,441 Conquest,CESSNA 441 Conquest,441 Conquest,TURBOPROP,TURBOPROP,2,L
C500,Cessna,500 Citation 1,CESSNA 500 Citation 1,500 Citation 1,BUSINESS,JET,2,L
C501,Cessna,501 Citation 1SP,CESSNA 501 Citation 1SP,501 Citation 1SP,BUSINESS,JET,2,L
C510,Cessna,510 Citation Mustang,CESSNA 510 Citation Mustang,510 Citation Mustang,BUSINESS,JET,2,L
C525,Cessna,525 CitationJet,CESSNA 525 CitationJet,525 CitationJet,BUSINESS,JET,2,L
C526,Cessna,526 CitationJet,CESSNA 526 CitationJet,526 CitationJet,BUSINESS,JET,2,L
C550,Cessna,550 Citation S2,CESSNA 550 Citation S2,550 Citation S2,BUSINESS,JET,2,L
C551,Cessna,551 Citation 2SP,CESSNA 551 Citation 2SP,551 Citation 2SP,BUSINESS,JET,2,L
C55B,Cessna,550B Citation Bravo,CESSNA 550B Citation Bravo,550B Citation Bravo,BUSINESS,JET,2,L
C560,Cessna,560 Citation Ultra,CESSNA 560 Citation Ultra,560 Citation Ultra,BUSINESS,JET,2,M
C56X,Cessna,560XL Citation XLS,CESSNA 560XL Citation XLS,560XL Citation XLS,BUSINESS,JET,2,M
C5M,Lockheed,C-5 Super Galaxy,LOCKHEED C-5 Super Galaxy,C-5 Super Galaxy,WIDE,JET,4,H
C650,Cessna,650 Citation,CESSNA 650 Citation,650 Citation,BUSINESS,JET,2,M
C680,Cessna,680 Citation Sovereign,CESSNA 680 Citation Sovereign,680 Citation Sovereign,BUSINESS,JET,2,M
C68A,Cessna,680 Citation Latitude,CESSNA 680 Citation Latitude,680 Citation Latitude,BUSINESS,JET,2,M
C700,Cessna,700 Citation Longitude,CESSNA 700 Citation Longitude,700 Citation Longitude,BUSINESS,JET,2,M
C750,Cessna,750 Citation 10,CESSNA 750 Citation 10,750 Citation 10,BUSINESS,JET,2,M
C919,COMAC,C-919,COMAC C-919,C-919,NARROW,JET,2,M
CA12,Comp,AIR 12,COMP AIR 12,AIR 12,TURBOPROP,TURBOPROP,1,L
CA1T,Comp,AIR 10XLT,COMP AIR 10XLT,AIR 10XLT,TURBOPROP,TURBOPROP,1,L
CA7T,Comp,AIR 7T,COMP AIR 7T,AIR 7T,TURBOPROP,TURBOPROP,1,L
CA8,Comp,AIR 8,COMP AIR 8,AIR 8,TURBOPROP,TURBOPROP,1,L
CA9,Comp,AIR 9,COMP AIR 9,AIR 9,TURBOPROP,TURBOPROP,1,L
CABI,Universal,COMPOSITE Carbon Bird,UNIVERSAL COMPOSITE Carbon Bird,COMPOSITE Carbon Bird,TURBOPROP,TURBOPROP,1,L
CAJ,Comp,AIR Jet,COMP AIR Jet,AIR Jet,BUSINESS,JET,1,L
CD2,Claudius,DORNIER CD-2 Seastar,CLAUDIUS DORNIER CD-2 Seastar,DORNIER CD-2 Seastar,TURBOPROP,TURBOPROP,2,L
CH1,Aidx,T-CH-1 Chung-Tsing,AIDX T-CH-1 Chung-Tsing,T-CH-1 Chung-Tsing,TURBOPROP,TURBOPROP,1,L
CKUO,Aidc,F-CK-1 Ching-Kuo,AIDC F-CK-1 Ching-Kuo,F-CK-1 Ching-Kuo,REGIONAL,JET,2,M
CL2T,Canadair,CL-415 SuperScooper,CANADAIR CL-415 SuperScooper,CL-415 SuperScooper,TURBOPROP,TURBOPROP,2,M
CL30,Bombardier,BD-100 Challenger 300,BOMBARDIER BD-100 Challenger 300,BD-100 Challenger 300,BUSINESS,JET,2,M
CL35,Bombardier,BD-100 Challenger 350,BOMBARDIER BD-100 Challenger 350,BD-100 Challenger 350,BUSINESS,JET,2,M
CL41,Canadair,Tutor,CANADAIR Tutor,Tutor,BUSINESS,JET,1,L
CL4G,Canadair,CL-44 Guppy,CANADAIR CL-44 Guppy,CL-44 Guppy,TURBOPROP,TURBOPROP,4,M
CL60,Bombardier,CL-600 Challenger,BOMBARDIER CL-600 Challenger,CL-600 Challenger,BUSINESS,JET,2,M
CN35,CASA,CN-235 Persuader,CASA CN-235 Persuader,CN-235 Persuader,TURBOPROP,TURBOPROP,2,M
CNBR,Bac,Canberra,BAC Canberra,Canberra,REGIONAL,JET,2,M
CNDR,General,AVIA F-20TP Condor,GENERAL AVIA F-20TP Condor,AVIA F-20TP Condor,TURBOPROP,TURBOPROP,2,L
COZJ,Co-Z,CozyJet,CO-Z CozyJet,CozyJet,BUSINESS,JET,1,L
CRES,Pacific,AEROSPACE Cresco,PACIFIC AEROSPACE Cresco,AEROSPACE Cresco,TURBOPROP,TURBOPROP,1,L
CRJ1,Bombardier,Regional Jet CRJ-100,BOMBARDIER Regional Jet CRJ-100,CRJ,REGIONAL,JET,2,M
CRJ2,Bombardier,Regional Jet CRJ-200,BOMBARDIER Regional Jet CRJ-200,CRJ,REGIONAL,JET,2,M
CRJ7,Bombardier,Regional Jet CRJ-700,BOMBARDIER Regional Jet CRJ-700,CRJ,REGIONAL,JET,2,M
CRJ9,Bombardier,Regional Jet CRJ-900,BOMBARDIER Regional Jet CRJ-900,CRJ,REGIONAL,JET,2,M
CRJX,Bombardier,Regional Jet CRJ-1000,BOMBARDIER Regional Jet CRJ-1000,CRJ,REGIONAL,JET,2,M
CVLT,Canadair,Cosmopolitan,CANADAIR Cosmopolitan,Cosmopolitan,TURBOPROP,TURBOPROP,2,M
D228,Dornier,228,DORNIER 228,228,TURBOPROP,TURBOPROP,2,L
D28T,Dornier,Do-28D-6 Turbo Skyservant,DORNIER Do-28D-6 Turbo Skyservant,Do-28D-6 Turbo Skyservant,TURBOPROP,TURBOPROP,2,L
D328,Dornier,328,DORNIER 328,328,TURBOPROP,TURBOPROP,2,M
DC10,McDonnell Douglas,DC-10,MCDONNELL DOUGLAS DC-10,DC-10,WIDE,JET,3,H
DC3T,Douglas,DC-3 Turbine Dakota,DOUGLAS DC-3 Turbine Dakota,DC-3 Turbine Dakota,TURBOPROP,TURBOPROP,2,M
DC85,McDonnell Douglas,DC-8-50,MCDONNELL DOUGLAS DC-8-50,DC-8-50,WIDE,JET,4,H
DC86,McDonnell Douglas,DC-8-60,MCDONNELL DOUGLAS DC-8-60,DC-8-60,WIDE,JET,4,H
DC87,McDonnell Douglas,DC-8-70,MCDONNELL DOUGLAS DC-8-70,DC-8-70,WIDE,JET,4,H
DC91,McDonnell Douglas,DC-9-10,MCDONNELL DOUGLAS DC-9-10,DC-9-10,NARROW,JET,2,M
DC92,McDonnell Douglas,DC-9-20,MCDONNELL DOUGLAS DC-9-20,DC-9-20,NARROW,JET,2,M
DC93,McDonnell Douglas,DC-9-30,MCDONNELL DOUGLAS DC-9-30,DC-9-30,NARROW,JET,2,M
DC94,McDonnell Douglas,DC-9-40,MCDONNELL DOUGLAS DC-9-40,DC-9-40,NARROW,JET,2,M
DC95,McDonnell Douglas,DC-9-50,MCDONNELL DOUGLAS DC-9-50,DC-9-50,NARROW,JET,2,M
DH2T,De Havilland,DHC-2 Turbo Beaver,DE HAVILLAND DHC-2 Turbo Beaver,DHC-2 Turbo Beaver,TURBOPROP,TURBOPROP,1,L
DH3T,De Havilland,DHC-3 Turbo Otter,DE HAVILLAND DHC-3 Turbo Otter,DHC-3 Turbo Otter,TURBOPROP,TURBOPROP,1,L
DH4T,De Havilland,DHC-4 Turbo Caribou,DE HAVILLAND DHC-4 Turbo Caribou,DHC-4 Turbo Caribou,TURBOPROP,TURBOPROP,2,M
DH8A,De Havilland,DHC-8-100 Dash 8,DE HAVILLAND DHC-8-100 Dash 8,Dash 8,TURBOPROP,TURBOPROP,2,M
DH8B,De Havilland,DHC-8-200 Dash 8,DE HAVILLAND DHC-8-200 Dash 8,Dash 8,TURBOPROP,TURBOPROP,2,M
DH8C,De Havilland,DHC-8-300 Dash 8,DE HAVILLAND DHC-8-300 Dash 8,Dash 8,TURBOPROP,TURBOPROP,2,M
DH8D,De Havilland,DHC-8-400 Dash 8,DE HAVILLAND DHC-8-400 Dash 8,Dash 8,TURBOPROP,TURBOPROP,2,M
DHC5,De Havilland,DHC-5 Buffalo,DE HAVILLAND DHC-5 Buffalo,DHC-5 Buffalo,TURBOPROP,TURBOPROP,2,M
DHC6,De Havilland,DHC-6 Twin Otter,DE HAVILLAND DHC-6 Twin Otter,DHC-6 Twin Otter,TURBOPROP,TURBOPROP,2,L
DHC7,De Havilland,DHC-7 Dash 7,DE HAVILLAND DHC-7 Dash 7,DHC-7 Dash 7,TURBOPROP,TURBOPROP,4,M
DJET,Diamond,D-Jet,DIAMOND D-Jet,D-Jet,BUSINESS,JET,1,L
DNGO,Aeroric,Dingo,AERORIC Dingo,Dingo,TURBOPROP,TURBOPROP,1,L
DT45,Diamond,Dart-450,DIAMOND Dart-450,Dart-450,TURBOPROP,TURBOPROP,1,L
E110,Embraer,EMB-110 Bandeirante,EMBRAER EMB-110 Bandeirante,EMB-110 Bandeirante,TURBOPROP,TURBOPROP,2,L
E120,Embraer,EMB-120 Brasilia,EMBRAER EMB-120 Brasilia,EMB-120 Brasilia,TURBOPROP,TURBOPROP,2,M
E121,Embraer,EMB-121 Xingu,EMBRAER EMB-121 Xingu,EMB-121 Xingu,TURBOPROP,TURBOPROP,2,L
E135,Embraer,ERJ-135,EMBRAER ERJ-135,ERJ,REGIONAL,JET,2,M
E145,Embraer,ERJ-145,EMBRAER ERJ-145,ERJ,REGIONAL,JET,2,M
E170,Embraer,ERJ-170-100,EMBRAER ERJ-170-100,E-Jet,REGIONAL,JET,2,M
E190,Embraer,ERJ-190-100,EMBRAER ERJ-190-100,E-Jet,REGIONAL,JET,2,M
E195,Embraer,ERJ-190-200,EMBRAER ERJ-190-200,E-Jet,REGIONAL,JET,2,M
E2,Northrop,GRUMMAN E-2 Hawkeye,NORTHROP GRUMMAN E-2 Hawkeye,GRUMMAN E-2 Hawkeye,TURBOPROP,TURBOPROP,2,M
E275,Embraer,ERJ-190-500,EMBRAER ERJ-190-500,E-Jet E2,REGIONAL,JET,2,M
E290,Embraer,ERJ-190-300,EMBRAER ERJ-190-300,E-Jet,REGIONAL,JET,2,M
E295,Embraer,ERJ-190-400,EMBRAER ERJ-190-400,E-Jet,REGIONAL,JET,2,M
E314,Embraer,EMB-314 Super Tucano,EMBRAER EMB-314 Super Tucano,EMB-314 Super Tucano,TURBOPROP,TURBOPROP,1,L
E350,Cessna,E350,CESSNA E350,E350,TURBOPROP,TURBOPROP,1,L
E35L,Embraer,EMB-135 Legacy,EMBRAER EMB-135 Legacy,ERJ,BUSINESS,JET,2,M
E390,Embraer,EMB-390,EMBRAER EMB-390,EMB-390,REGIONAL,JET,2,M
E3CF,Boeing,E-3 Sentry (CFM56),BOEING E-3 Sentry (CFM56),E-3 Sentry (CFM56),WIDE,JET,4,H
E3TF,Boeing,E-3 Sentry (TF33),BOEING E-3 Sentry (TF33),E-3 Sentry (TF33),WIDE,JET,4,H
E45X,Embraer,ERJ-145XR,EMBRAER ERJ-145XR,ERJ-145XR,REGIONAL,JET,2,M
E500,Extra,EA-500,EXTRA EA-500,EA-500,TURBOPROP,TURBOPROP,1,L
E50P,Embraer,EMB-500 Phenom 100,EMBRAER EMB-500 Phenom 100,EMB-500 Phenom 100,BUSINESS,JET,2,L
E530,Cessna,E530 Scorpion,CESSNA E530 Scorpion,E530 Scorpion,BUSINESS,JET,2,M
E545,Embraer,EMB545 Praetor 500,EMBRAER EMB545 Praetor 500,EMB545 Praetor 500,BUSINESS,JET,2,M
E550,Embraer,EMB-550 Praetor 600,EMBRAER EMB-550 Praetor 600,EMB-550 Praetor 600,BUSINESS,JET,2,M
E55P,Embraer,EMB-505 Phenom 300,EMBRAER EMB-505 Phenom 300,EMB-505 Phenom 300,BUSINESS,JET,2,M
E6,Boeing,E-6 Mercury,BOEING E-6 Mercury,E-6 Mercury,WIDE,JET,4,H
E737,Boeing,737-700 AEWC,BOEING 737-700 AEWC,737-700 AEWC,NARROW,JET,2,M
E75L,Embraer,ERJ-170-200 (long wing),EMBRAER ERJ-170-200 (long wing),E-Jet,REGIONAL,JET,2,M
E75S,Embraer,ERJ-170-200 (short wing),EMBRAER ERJ-170-200 (short wing),E-Jet,REGIONAL,JET,2,M
E767,Boeing,E-767,BOEING E-767,E-767,WIDE,JET,2,H
EA40,Eclipse,400,ECLIPSE 400,400,BUSINESS,JET,1,L
EA50,Eclipse,550,ECLIPSE 550,550,BUSINESS,JET,2,L
EGRT,Grob,G-520 Strato 1,GROB G-520 Strato 1,G-520 Strato 1,TURBOPROP,TURBOPROP,1,L
ELIT,Epic,AIRCRAFT Elite,EPIC AIRCRAFT Elite,AIRCRAFT Elite,BUSINESS,JET,2,L
EM10,Marganski,EM-10 Bielik,MARGANSKI EM-10 Bielik,EM-10 Bielik,BUSINESS,JET,1,L
EPIC,Epic,AIRCRAFT Epic LT,EPIC AIRCRAFT Epic LT,AIRCRAFT Epic LT,TURBOPROP,TURBOPROP,1,L
ESCA,Epic,AIRCRAFT Epic Escape,EPIC AIRCRAFT Epic Escape,AIRCRAFT Epic Escape,TURBOPROP,TURBOPROP,1,L
ETAR,Dassault,Etendard 4,DASSAULT Etendard 4,Etendard 4,BUSINESS,JET,1,M
EUFI,Eurofighter,2000,EUROFIGHTER 2000,2000,REGIONAL,JET,2,M
EVIC,Epic,AIRCRAFT Epic Victory,EPIC AIRCRAFT Epic Victory,AIRCRAFT Epic Victory,BUSINESS,JET,1,L
EVOT,Lancair,Evolution Turbine,LANCAIR Evolution Turbine,Evolution Turbine,TURBOPROP,TURBOPROP,1,L
EX5T,Explorer,500T,EXPLORER 500T,500T,TURBOPROP,TURBOPROP,1,L
F1,Mitsubishi,F-1,MITSUBISHI F-1,F-1,REGIONAL,JET,2,M
F100,Fokker,100,FOKKER 100,100,REGIONAL,JET,2,M
F104,Lockheed,F-104 Starfighter,LOCKHEED F-104 Starfighter,F-104 Starfighter,REGIONAL,JET,1,M
F106,Convair,QF-106 Delta Dart,CONVAIR QF-106 Delta Dart,QF-106 Delta Dart,REGIONAL,JET,1,M
F111,General,DYNAMICS F-111 Raven,GENERAL DYNAMICS F-111 Raven,DYNAMICS F-111 Raven,REGIONAL,JET,2,M
F117,Lockheed,F-117 Nighthawk,LOCKHEED F-117 Nighthawk,F-117 Nighthawk,REGIONAL,JET,2,M
F14,Grumman,F-14 Tomcat,GRUMMAN F-14 Tomcat,F-14 Tomcat,REGIONAL,JET,2,M
F15,McDonnell Douglas,F-15 Eagle,MCDONNELL-DOUGLAS F-15 Eagle,F-15 Eagle,NARROW,JET,2,M
F16,General,DYNAMICS F-16 Fighting Falcon,GENERAL DYNAMICS F-16 Fighting Falcon,DYNAMICS F-16 Fighting Falcon,REGIONAL,JET,1,M
F16X,General,DYNAMICS F-16XL Fighting Falcon,GENERAL DYNAMICS F-16XL Fighting Falcon,DYNAMICS F-16XL Fighting Falcon,REGIONAL,JET,1,M
F18H,Boeing,FA-18 HORNET,BOEING FA-18 HORNET,FA-18 HORNET,NARROW,JET,2,M
F18S,Boeing,FA-18 SUPER HORNET,BOEING FA-18 SUPER HORNET,FA-18 SUPER HORNET,NARROW,JET,2,M
F2,Mitsubishi,F-2,MITSUBISHI F-2,F-2,REGIONAL,JET,1,M
F22,Lockheed,MARTIN F-22 Raptor,LOCKHEED MARTIN F-22 Raptor,MARTIN F-22 Raptor,REGIONAL,JET,2,M
F26T,Aermacchi,SF-260T,AERMACCHI SF-260T,SF-260T,TURBOPROP,TURBOPROP,1,L
F27,Fokker,F-27,FOKKER F-27,F-27,TURBOPROP,TURBOPROP,2,M
F28,Fokker,F-28,FOKKER F-28,F-28,REGIONAL,JET,2,M
F2TH,Dassault,Falcon 2000,DASSAULT Falcon 2000,Falcon 2000,BUSINESS,JET,2,M
F35,Lockheed,MARTIN F-35 Lightning 2,LOCKHEED MARTIN F-35 Lightning 2,MARTIN F-35 Lightning 2,REGIONAL,JET,1,M
F4,McDonnell Douglas,F-4 Phantom 2,MCDONNELL-DOUGLAS F-4 Phantom 2,F-4 Phantom 2,NARROW,JET,2,M
F402,Falcon,AIR Falcon 402,FALCON AIR Falcon 402,AIR Falcon 402,TURBOPROP,TURBOPROP,1,L
F406,Cessna,F406 Caravan 2,CESSNA F406 Caravan 2,F406 Caravan 2,TURBOPROP,TURBOPROP,2,L
F421,Falcon,AIR Falcon 421,FALCON AIR Falcon 421,AIR Falcon 421,TURBOPROP,TURBOPROP,1,L
F5,Northrop,F-5 Tiger 2,NORTHROP F-5 Tiger 2,F-5 Tiger 2,REGIONAL,JET,2,M
F50,Fokker,50,FOKKER 50,50,TURBOPROP,TURBOPROP,2,M
F5SA,Iriaf,S-100 Saeghe,IRIAF S-100 Saeghe,S-100 Saeghe,REGIONAL,JET,2,M
F60,Fokker,60,FOKKER 60,60,TURBOPROP,TURBOPROP,2,M
F600,Siai-Marchetti,SF-600 Canguro,SIAI-MARCHETTI SF-600 Canguro,SF-600 Canguro,TURBOPROP,TURBOPROP,2,L
F70,Fokker,70,FOKKER 70,70,REGIONAL,JET,2,M
F8,Chance,VOUGHT F-8 Crusader,CHANCE VOUGHT F-8 Crusader,VOUGHT F-8 Crusader,REGIONAL,JET,1,M
F86,North American,F-86 Sabre,NORTH AMERICAN F-86 Sabre,F-86 Sabre,REGIONAL,JET,1,M
F900,Dassault,Falcon 900,DASSAULT Falcon 900,Falcon 900,BUSINESS,JET,3,M
F9F,Grumman,F9F Panther,GRUMMAN F9F Panther,F9F Panther,BUSINESS,JET,1,L
FA10,Dassault,Falcon 100,DASSAULT Falcon 100,Falcon 100,BUSINESS,JET,2,M
FA20,Dassault,Falcon 200,DASSAULT Falcon 200,Falcon 200,BUSINESS,JET,2,M
FA50,Dassault,Falcon 50,DASSAULT Falcon 50,Falcon 50,BUSINESS,JET,3,M
FA6X,Dassault,Falcon 6X,DASSAULT Falcon 6X,Falcon 6X,BUSINESS,JET,2,M
FA7X,Dassault,Falcon 7X,DASSAULT Falcon 7X,Falcon 7X,BUSINESS,JET,3,M
FA8X,Dassault,Falcon 8X,DASSAULT Falcon 8X,Falcon 8X,BUSINESS,JET,3,M
FC1,Chengdu,FC-1 Super 7,CHENGDU FC-1 Super 7,FC-1 Super 7,REGIONAL,JET,1,M
FJ10,Aerostart,FJ-100,AEROSTART FJ-100,FJ-100,BUSINESS,JET,2,L
FOUG,Aerospatiale,CM-170 Magister,AEROSPATIALE CM-170 Magister,CM-170 Magister,BUSINESS,JET,2,L
G12T,Grob,G-120TP,GROB G-120TP,G-120TP,TURBOPROP,TURBOPROP,1,L
G140,Grob,G-140TP,GROB G-140TP,G-140TP,TURBOPROP,TURBOPROP,1,L
G150,Gulfstream,G150,GULFSTREAM G150,G150,BUSINESS,JET,2,M
G159,Grumman,Gulfstream 1,GRUMMAN Gulfstream 1,Gulfstream 1,TURBOPROP,TURBOPROP,2,M
G160,Grob,G-160,GROB G-160,G-160,TURBOPROP,TURBOPROP,1,L
G21T,Mckinnon,G-21E/G Turbo Goose,MCKINNON G-21E/G Turbo Goose,G-21E/G Turbo Goose,TURBOPROP,TURBOPROP,2,L
G222,Alenia,C-27A Spartan,ALENIA C-27A Spartan,C-27A Spartan,TURBOPROP,TURBOPROP,2,M
G250,Gulfstream,G250,GULFSTREAM G250,G250,BUSINESS,JET,2,M
G280,Gulfstream,G280,GULFSTREAM G280,G280,BUSINESS,JET,2,M
G2GL,Soko,G-2 Galeb,SOKO G-2 Galeb,G-2 Galeb,BUSINESS,JET,1,L
G4SG,Soko,G-4 Super Galeb,SOKO G-4 Super Galeb,G-4 Super Galeb,BUSINESS,JET,1,L
G64T,Grumman,G-164 Turbo Ag-Cat,GRUMMAN G-164 Turbo Ag-Cat,G-164 Turbo Ag-Cat,TURBOPROP,TURBOPROP,1,L
G73T,Grumman,G-73T Turbo Mallard,GRUMMAN G-73T Turbo Mallard,G-73T Turbo Mallard,TURBOPROP,TURBOPROP,2,L
G91,Fiat,G-91R,FIAT G-91R,G-91R,BUSINESS,JET,1,L
GA10,Gippsaero,GA-10,GIPPSAERO GA-10,GA-10,TURBOPROP,TURBOPROP,1,L
GA3C,Gulfstream,G300,GULFSTREAM G300,G300,BUSINESS,JET,2,M
GA4C,Gulfstream,G-7 G400,GULFSTREAM G-7 G400,G-7 G400,BUSINESS,JET,2,M
GA5C,Gulfstream,G500,GULFSTREAM G500,G500,BUSINESS,JET,2,M
GA6C,Gulfstream,G600,GULFSTREAM G600,G600,BUSINESS,JET,2,M
GA7C,Gulfstream,G700,GULFSTREAM G700,G700,BUSINESS,JET,2,M
GA8C,Gulfstream,G-8 G800,GULFSTREAM G-8 G800,G-8 G800,BUSINESS,JET,2,M
GALX,Gulfstream,G200,GULFSTREAM G200,G200,BUSINESS,JET,2,M
GANT,Fairey,Gannet,FAIREY Gannet,Gannet,TURBOPROP,TURBOPROP,0,M
GFLY,Scaled,Global Flyer,SCALED Global Flyer,Global Flyer,REGIONAL,JET,1,M
GJ11,Hongdu,GJ-11,HONGDU GJ-11,GJ-11,REGIONAL,JET,1,M
GL5T,Bombardier,BD-700 Global 5000/5500,BOMBARDIER BD-700 Global 5000/5500,BD-700 Global 5000/5500,BUSINESS,JET,2,M
GL7T,Bombardier,BD-700 Global 7000/7500,BOMBARDIER BD-700 Global 7000/7500,BD-700 Global 7000/7500,BUSINESS,JET,2,M
GLEX,Bombardier,BD-700 Global 6000/6500,BOMBARDIER BD-700 Global 6000/6500,BD-700 Global 6000/6500,BUSINESS,JET,2,M
GLF2,Gulfstream,2,GULFSTREAM 2,2,BUSINESS,JET,2,M
GLF3,Gulfstream,3,GULFSTREAM 3,3,BUSINESS,JET,2,M
GLF4,Gulfstream,4,GULFSTREAM 4,4,BUSINESS,JET,2,M
GLF5,Gulfstream,5,GULFSTREAM 5,5,BUSINESS,JET,2,M
GLF6,Gulfstream,G650,GULFSTREAM G650,G650,BUSINESS,JET,2,M
GLTU,Stoddard-Hamilton,Turbine Glasair,STODDARD-HAMILTON Turbine Glasair,Turbine Glasair,TURBOPROP,TURBOPROP,1,L
GM17,Intracom,Viper,INTRACOM Viper,Viper,TURBOPROP,TURBOPROP,1,L
GNAT,Hawker Siddeley,Gnat,HAWKER SIDDELEY Gnat,Gnat,BUSINESS,JET,1,L
GR51,Cameron,P-51G Grand 51,CAMERON P-51G Grand 51,P-51G Grand 51,TURBOPROP,TURBOPROP,1,L
GRIZ,Aerotek,Turbo Grizzly,AEROTEK Turbo Grizzly,Turbo Grizzly,TURBOPROP,TURBOPROP,1,L
GSPN,Grob,G-180 SPn Utility Jet,GROB G-180 SPn Utility Jet,G-180 SPn Utility Jet,BUSINESS,JET,2,L
H25A,Hawker Siddeley,HS-125,HAWKER SIDDELEY HS-125,HS-125,BUSINESS,JET,2,M
H25B,Hawker Beechcraft,Hawker 750/850,HAWKER BEECHCRAFT Hawker 750/850,Hawker 750/850,BUSINESS,JET,2,M
H25C,Raytheon,Hawker 1000,RAYTHEON Hawker 1000,Hawker 1000,BUSINESS,JET,2,M
HA4T,Raytheon,4000 Hawker Horizon,RAYTHEON 4000 Hawker Horizon,4000 Hawker Horizon,BUSINESS,JET,2,M
HAR,British Aerospace,Harrier,BRITISH AEROSPACE Harrier,Harrier,REGIONAL,JET,1,M
HAWK,British Aerospace,T-45 Goshawk,BRITISH AEROSPACE T-45 Goshawk,T-45 Goshawk,REGIONAL,JET,1,M
