icao_code,manufacturer,model,name,family,body_type,engine_type,engine_count,wake_category
TLEG,Legend,Turbine Legend,LEGEND Turbine Legend,Turbine Legend,TURBOPROP,TURBOPROP,1,L
TOR,Panavia,Tornado,PANAVIA Tornado,Tornado,REGIONAL,JET,2,M
TPIL,Enaer,T-35 Aucan,ENAER T-35 Aucan,T-35 Aucan,TURBOPROP,TURBOPROP,1,L
TS11,Pzl-Mielec,TS-11 Iskra,PZL-MIELEC TS-11 Iskra,TS-11 Iskra,BUSINESS,JET,1,L
TS1J,Jonker,Revelation,JONKER Revelation,Revelation,BUSINESS,JET,1,L
TU16,Tupolev,Tu-6,TUPOLEV Tu-6,Tu-6,NARROW,JET,2,M
TU22,Tupolev,Tu-22,TUPOLEV Tu-22,Tu-22,NARROW,JET,2,M
TU95,Tupolev,Tu-142,TUPOLEV Tu-142,Tu-142,TURBOPROP,TURBOPROP,4,H
TUCA,Embraer,EMB-312 Tucano,EMBRAER EMB-312 Tucano,EMB-312 Tucano,TURBOPROP,TURBOPROP,1,L
TUCT,Flying,LEGEND Turbine Tucano Replica,FLYING LEGEND Turbine Tucano Replica,LEGEND Turbine Tucano Replica,TURBOPROP,TURBOPROP,1,L
TZRV,Iriaf,Tazarve,IRIAF Tazarve,Tazarve,BUSINESS,JET,1,L
U2,Lockheed,U-2,LOCKHEED U-2,U-2,REGIONAL,JET,1,M
U21,Beech,U-21 Ute,BEECH U-21 Ute,U-21 Ute,TURBOPROP,TURBOPROP,2,L
US1,Shinmaywa,US-1,SHINMAYWA US-1,US-1,TURBOPROP,TURBOPROP,4,M
US2,Shinmaywa,US-2,SHINMAYWA US-2,US-2,TURBOPROP,TURBOPROP,4,M
V1,Grumman,Mohawk,GRUMMAN Mohawk,Mohawk,TURBOPROP,TURBOPROP,2,M
V10,North American,OV-10 Bronco,NORTH AMERICAN OV-10 Bronco,OV-10 Bronco,TURBOPROP,TURBOPROP,2,L
V452,Msw,Votec 452,MSW Votec 452,Votec 452,TURBOPROP,TURBOPROP,1,L
VAMP,De Havilland,DH-100/115 Vampire,DE HAVILLAND DH-100/115 Vampire,DH-100/115 Vampire,BUSINESS,JET,1,L
VANT,Visionaire,Vantage,VISIONAIRE Vantage,Vantage,BUSINESS,JET,1,L
VAUT,Sud,Vautour,SUD Vautour,Vautour,REGIONAL,JET,2,M
VF35,Lockheed,MARTIN F-35B Lightning 2,LOCKHEED-MARTIN F-35B Lightning 2,MARTIN F-35B Lightning 2,REGIONAL,JET,1,M
VF60,Vulcanair,Mission,VULCANAIR Mission,Mission,TURBOPROP,TURBOPROP,1,L
VIPJ,Viper,ViperJet,VIPER ViperJet,ViperJet,BUSINESS,JET,1,L
VK3T,Cirrus,VK-30 Turbine,CIRRUS VK-30 Turbine,VK-30 Turbine,TURBOPROP,TURBOPROP,1,L
VL3T,Jmb,AIRCRAFT VL-3 Evolution Turbine,JMB AIRCRAFT VL-3 Evolution Turbine,AIRCRAFT VL-3 Evolution Turbine,TURBOPROP,TURBOPROP,1,L
VLOT,Velocity,XL Turbine,VELOCITY XL Turbine,XL Turbine,TURBOPROP,TURBOPROP,1,L
VLTT,Velocity,XL Twin Turbine,VELOCITY XL Twin Turbine,XL Twin Turbine,TURBOPROP,TURBOPROP,2,L
VMT,Myasishchev,VM-T Atlant,MYASISHCHEV VM-T Atlant,VM-T Atlant,WIDE,JET,4,H
VNOM,De Havilland,DH-112 Venom,DE HAVILLAND DH-112 Venom,DH-112 Venom,REGIONAL,JET,1,M
VTOR,Vulcanair,Viator,VULCANAIR Viator,Viator,TURBOPROP,TURBOPROP,2,L
W135,Boeing,WC-135R,BOEING WC-135R,WC-135R,WIDE,JET,4,H
W62T,Weatherly,620TP,WEATHERLY 620TP,620TP,TURBOPROP,TURBOPROP,1,L
WB57,Martin,272,MARTIN 272,272,REGIONAL,JET,2,M
