icao,iata,name,city,country_code,latitude,longitude,time_zone,airport_type
HCAD,AAD,Adado Airport,Adado,SO,6.095802,46.6375,Africa/Mogadishu,small_airport
,ABP,Atkamba Airport,Atkamba Mission,PG,-6.06462,141.095173,,small_airport
,ACM,Arica Airport,Arica,CO,-2.143713,-71.75935,America/Bogota,small_airport
,ALV,Andorra la Vella Heliport,Escaldes-Engordany,AD,42.511227,1.53365,,heliport
,ADV,El Daein Airport,El Daein,SD,11.4023,26.1186,Africa/Khartoum,small_airport
OEBT,,Batha Airport,Batha,SA,24.214693,51.44989,Asia/Riyadh,small_airport
,DST,Dubai Seaplane Terminal,,AE,25.263,55.272,Asia/Dubai,seaplane_base
HJAR,AEE,Adareil Airport,Adar,SS,10.053611,32.959444,Africa/Juba,small_airport
LEAG,,Algeciras Heliport,Algeciras,ES,36.12882,-5.441079,,heliport
,AEQ,Ar Horqin Airport,Chifeng,CN,43.908407,120.15099,Asia/Shanghai,small_airport
,AFK,Kondavattavana Tank Seaplane Base,Ampara,LK,7.284,81.644,Asia/Colombo,seaplane_base
TAPB,BBQ,Burton-Nibbs International Airport,Codrington,AG,17.621194,-61.798347,America/Antigua,medium_airport
AGAF,AFT,Afutara Aerodrome,Bila,SB,-9.191389,160.948611,Pacific/Guadalcanal,small_airport
AGAR,RNA,Ulawa Airport,Arona,SB,-9.86054358262,161.979546547,Pacific/Guadalcanal,small_airport
AGAT,ATD,Uru Harbour Airport,Atoifi,SB,-8.87333,161.011002,Pacific/Guadalcanal,small_airport
AGBA,VEV,Barakoma Airport,Barakoma,SB,-7.912779808044434,156.70599365234375,Pacific/Guadalcanal,small_airport
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,SB,-8.56202777778,158.119305556,Pacific/Guadalcanal,small_airport
AGEV,GEF,Geva Airport,Liangia,SB,-7.575829982757568,156.5970001220703,Pacific/Guadalcanal,small_airport
,AGG,Angoram Airport,Angoram,PG,-4.057077,144.073841,,small_airport
AGGA,AKS,Gwaunaru'u Airport,Auki,SB,-8.70257,160.682007,Pacific/Guadalcanal,small_airport
AGGB,BNY,Bellona/Anua Airport,Anua,SB,-11.302222222200001,159.798333333,Pacific/Guadalcanal,small_airport
AGGC,CHY,Choiseul Bay Airport,Choiseul Bay,SB,-6.711944,156.396111,Pacific/Guadalcanal,small_airport
AGGE,BAS,Ballalae Airport,Ballalae,SB,-6.990745,155.886656,Pacific/Guadalcanal,small_airport
AGGF,FRE,Fera/Maringe Airport,Fera Island,SB,-8.1075,159.576996,Pacific/Guadalcanal,small_airport
AGGH,HIR,Honiara International Airport,Honiara,SB,-9.428,160.054993,Pacific/Guadalcanal,large_airport
AGGI,MBU,Babanakira Airport,Mbambanakira,SB,-9.7475,159.839005,Pacific/Guadalcanal,small_airport
AGGJ,AVU,Avu Avu Airport,Avu Avu,SB,-9.868333,160.410556,Pacific/Guadalcanal,small_airport
AGGK,IRA,Ngorangora Airport,Kirakira,SB,-10.449700355500001,161.897994995,Pacific/Guadalcanal,small_airport
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,-10.7203,165.794998,Pacific/Guadalcanal,small_airport
AGGM,MUA,Munda Airport,Munda,SB,-8.32797,157.263,Pacific/Guadalcanal,medium_airport
